ダウンロードした時刻：2026/05/27 16:02:17

,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2024/11/28,11.1,8,1,14.5,8,1,8.7,8,1
2024/11/29,10.2,8,1,13.5,8,1,8.0,8,1
2024/11/30,10.4,8,1,13.6,8,1,6.9,8,1
2024/12/1,11.7,8,1,15.4,8,1,8.4,8,1
2024/12/2,12.3,8,1,17.0,8,1,8.2,8,1
2024/12/3,14.2,8,1,18.5,8,1,10.4,8,1
2024/12/4,12.0,8,1,15.4,8,1,8.6,8,1
2024/12/5,9.9,8,1,13.2,8,1,8.0,8,1
2024/12/6,10.8,8,1,14.3,8,1,7.3,8,1
2024/12/7,9.7,8,1,12.7,8,1,7.4,8,1
2024/12/8,8.0,8,1,10.9,8,1,6.4,8,1
2024/12/9,8.7,8,1,12.8,8,1,5.5,8,1
2024/12/10,9.5,8,1,13.5,8,1,5.8,8,1
2024/12/11,10.5,8,1,14.0,8,1,7.8,8,1
2024/12/12,8.2,8,1,11.9,8,1,5.9,8,1
2024/12/13,9.0,8,1,12.1,8,1,6.1,8,1
2024/12/14,6.6,8,1,9.3,8,1,4.7,8,1
2024/12/15,7.2,8,1,10.9,8,1,4.2,8,1
2024/12/16,8.1,8,1,11.9,8,1,5.7,8,1
2024/12/17,8.3,8,1,12.4,8,1,5.0,8,1
2024/12/18,7.5,8,1,11.2,8,1,4.7,8,1
2024/12/19,5.4,8,1,9.1,8,1,4.0,8,1
2024/12/20,6.2,8,1,9.4,8,1,3.0,8,1
2024/12/21,7.8,8,1,12.6,8,1,4.0,8,1
2024/12/22,6.2,8,1,9.9,8,1,3.7,8,1
2024/12/23,6.6,8,1,10.5,8,1,3.0,8,1
2024/12/24,7.5,8,1,11.1,8,1,4.8,8,1
2024/12/25,8.1,8,1,11.0,8,1,3.8,8,1
2024/12/26,10.1,8,1,13.3,8,1,8.1,8,1
2024/12/27,7.9,8,1,11.0,8,1,5.6,8,1
2024/12/28,5.8,8,1,9.3,8,1,3.9,8,1
2024/12/29,6.2,8,1,10.2,8,1,2.7,8,1
2024/12/30,7.7,8,1,11.0,8,1,4.9,8,1
2024/12/31,8.4,8,1,13.4,8,1,5.4,8,1
2025/1/1,7.5,8,1,11.1,8,1,3.9,8,1
2025/1/2,8.2,8,1,12.4,8,1,3.7,8,1
2025/1/3,7.5,8,1,11.8,8,1,3.9,8,1
2025/1/4,6.0,8,1,10.2,8,1,2.5,8,1
2025/1/5,6.8,8,1,10.3,8,1,2.8,8,1
2025/1/6,7.6,8,1,9.1,8,1,6.3,8,1
2025/1/7,6.0,8,1,8.7,8,1,3.2,8,1
2025/1/8,4.7,8,1,8.4,8,1,2.2,8,1
2025/1/9,3.5,8,1,6.6,8,1,0.4,8,1
2025/1/10,2.4,8,1,6.9,8,1,-1.7,8,1
2025/1/11,5.2,8,1,9.4,8,1,2.2,8,1
2025/1/12,5.9,8,1,9.0,8,1,3.8,8,1
2025/1/13,6.5,8,1,10.2,8,1,2.5,8,1
2025/1/14,7.7,8,1,10.5,8,1,4.6,8,1
2025/1/15,7.0,8,1,10.4,8,1,2.5,8,1
2025/1/16,5.1,8,1,8.4,8,1,1.7,8,1
2025/1/17,5.7,8,1,8.9,8,1,2.9,8,1
2025/1/18,5.6,8,1,9.0,8,1,2.1,8,1
2025/1/19,8.6,8,1,13.1,8,1,3.6,8,1
2025/1/20,10.0,8,1,13.5,8,1,7.5,8,1
2025/1/21,8.9,8,1,12.7,8,1,5.9,8,1
2025/1/22,8.2,8,1,12.7,8,1,4.6,8,1
2025/1/23,9.0,8,1,12.5,8,1,5.6,8,1
2025/1/24,9.4,8,1,13.3,8,1,5.7,8,1
2025/1/25,7.6,8,1,10.9,8,1,5.3,8,1
2025/1/26,6.7,8,1,10.0,8,1,4.4,8,1
2025/1/27,6.9,8,1,9.8,8,1,4.2,8,1
2025/1/28,6.8,8,1,9.2,8,1,4.9,8,1
2025/1/29,5.3,8,1,7.7,8,1,2.5,8,1
2025/1/30,4.8,8,1,8.6,8,1,2.2,8,1
2025/1/31,6.6,8,1,10.9,8,1,3.2,8,1
2025/2/1,6.7,8,1,10.1,8,1,4.2,8,1
2025/2/2,8.4,8,1,12.1,8,1,5.6,8,1
2025/2/3,8.3,8,1,11.2,8,1,3.6,8,1
2025/2/4,2.8,8,1,6.0,8,1,0.2,8,1
2025/2/5,1.2,8,1,5.7,8,1,-1.0,8,1
2025/2/6,1.7,8,1,4.9,8,1,-1.1,8,1
2025/2/7,2.2,8,1,6.4,8,1,-1.3,8,1
2025/2/8,1.0,8,1,5.4,8,1,-3.1,8,1
2025/2/9,3.4,8,1,8.3,8,1,-0.2,8,1
2025/2/10,4.6,8,1,8.7,8,1,1.1,8,1
2025/2/11,4.4,8,1,8.6,8,1,1.4,8,1
2025/2/12,5.4,8,1,9.6,8,1,1.4,8,1
2025/2/13,6.5,8,1,8.7,8,1,2.7,8,1
2025/2/14,6.4,8,1,11.8,8,1,2.5,8,1
2025/2/15,8.1,8,1,12.9,8,1,3.0,8,1
2025/2/16,9.1,8,1,12.2,8,1,6.8,8,1
2025/2/17,7.4,8,1,12.2,8,1,1.8,8,1
2025/2/18,3.2,8,1,7.1,8,1,0.9,8,1
2025/2/19,2.7,8,1,7.0,8,1,0.1,8,1
2025/2/20,3.7,8,1,7.4,8,1,0.5,8,1
2025/2/21,4.3,8,1,7.8,8,1,1.8,8,1
2025/2/22,3.6,8,1,7.2,8,1,1.4,8,1
2025/2/23,4.2,8,1,8.2,8,1,0.8,8,1
2025/2/24,3.7,8,1,9.1,8,1,0.0,8,1
2025/2/25,5.8,8,1,9.3,8,1,1.6,8,1
2025/2/26,9.4,8,1,12.7,8,1,6.6,8,1
2025/2/27,9.2,8,1,13.6,8,1,4.9,8,1
2025/2/28,10.6,8,1,13.3,8,1,8.3,8,1
2025/3/1,11.8,8,1,16.0,8,1,7.3,8,1
2025/3/2,12.4,8,1,14.4,8,1,10.9,8,1
2025/3/3,8.7,8,1,12.6,8,1,6.2,8,1
2025/3/4,7.2,8,1,9.5,8,1,4.5,8,1
2025/3/5,9.9,8,1,11.2,8,1,8.0,8,1
2025/3/6,7.3,8,1,11.0,8,1,4.4,8,1
2025/3/7,5.6,8,1,9.5,8,1,3.6,8,1
2025/3/8,6.0,8,1,9.2,8,1,3.2,8,1
2025/3/9,7.9,8,1,13.0,8,1,3.0,8,1
2025/3/10,9.6,8,1,14.2,8,1,4.1,8,1
2025/3/11,10.6,8,1,12.7,8,1,8.4,8,1
2025/3/12,13.2,8,1,17.1,8,1,10.1,8,1
2025/3/13,13.1,8,1,16.9,8,1,8.8,8,1
2025/3/14,11.1,8,1,16.3,8,1,7.1,8,1
2025/3/15,8.7,8,1,10.8,8,1,7.1,8,1
2025/3/16,9.5,8,1,11.5,8,1,7.2,8,1
2025/3/17,7.1,8,1,10.4,8,1,4.9,8,1
2025/3/18,6.2,8,1,11.9,8,1,3.7,8,1
2025/3/19,5.4,8,1,9.3,8,1,2.4,8,1
2025/3/20,6.8,8,1,11.7,8,1,2.7,8,1
2025/3/21,11.7,8,1,16.4,8,1,6.4,8,1
2025/3/22,15.7,8,1,20.8,8,1,9.0,8,1
2025/3/23,17.9,8,1,22.6,8,1,14.0,8,1
2025/3/24,16.0,8,1,21.3,8,1,12.8,8,1
2025/3/25,17.7,8,1,22.1,8,1,13.4,8,1
2025/3/26,18.7,8,1,22.0,8,1,15.5,8,1
2025/3/27,19.0,8,1,23.7,8,1,15.0,8,1
2025/3/28,16.1,8,1,20.5,8,1,9.3,8,1
2025/3/29,10.4,8,1,14.5,8,1,7.8,8,1
2025/3/30,8.5,8,1,12.3,8,1,4.8,8,1
2025/3/31,8.1,8,1,11.3,8,1,4.7,8,1
2025/4/1,11.9,8,1,15.8,8,1,7.6,8,1
2025/4/2,12.8,8,1,15.2,8,1,11.8,8,1
2025/4/3,12.3,8,1,16.0,8,1,9.7,8,1
2025/4/4,11.3,8,1,16.3,8,1,8.5,8,1
2025/4/5,12.3,8,1,17.1,8,1,6.8,8,1
2025/4/6,16.1,8,1,21.5,8,1,12.7,8,1
2025/4/7,14.3,8,1,18.8,8,1,10.5,8,1
2025/4/8,15.5,8,1,20.0,8,1,10.3,8,1
2025/4/9,15.2,8,1,18.2,8,1,11.4,8,1
2025/4/10,16.8,8,1,20.2,8,1,14.4,8,1
2025/4/11,16.6,8,1,21.1,8,1,12.8,8,1
2025/4/12,15.4,8,1,18.7,8,1,10.6,8,1
2025/4/13,13.9,8,1,17.8,8,1,9.8,8,1
2025/4/14,12.4,8,1,17.1,8,1,8.4,8,1
2025/4/15,11.6,8,1,14.1,8,1,9.3,8,1
2025/4/16,13.4,8,1,17.8,8,1,8.2,8,1
2025/4/17,17.8,8,1,22.2,8,1,12.5,8,1
2025/4/18,20.0,8,1,23.0,8,1,17.1,8,1
2025/4/19,20.4,8,1,27.0,8,1,16.9,8,1
2025/4/20,20.1,8,1,21.5,8,1,18.5,8,1
2025/4/21,18.9,8,1,22.8,8,1,15.1,8,1
2025/4/22,19.6,8,1,24.1,8,1,16.3,8,1
2025/4/23,19.3,8,1,22.2,8,1,17.8,8,1
2025/4/24,17.9,8,1,21.8,8,1,15.3,8,1
2025/4/25,17.2,8,1,21.2,8,1,13.6,8,1
2025/4/26,15.6,8,1,19.9,8,1,10.2,8,1
2025/4/27,18.0,8,1,22.9,8,1,12.4,8,1
2025/4/28,16.8,8,1,20.8,8,1,12.8,8,1
2025/4/29,15.4,8,1,20.4,8,1,12.3,8,1
2025/4/30,15.9,8,1,21.7,8,1,10.3,8,1
2025/5/1,18.5,8,1,23.4,8,1,13.7,8,1
2025/5/2,16.8,8,1,20.9,8,1,13.8,8,1
2025/5/3,16.7,8,1,21.6,8,1,11.6,8,1
2025/5/4,19.1,8,1,22.0,8,1,16.4,8,1
2025/5/5,18.7,8,1,23.5,8,1,13.9,8,1
2025/5/6,16.1,8,1,18.7,8,1,13.7,8,1
2025/5/7,16.6,8,1,21.2,8,1,13.9,8,1
2025/5/8,17.5,8,1,23.9,8,1,11.1,8,1
2025/5/9,18.4,8,1,21.0,8,1,16.4,8,1
2025/5/10,20.5,8,1,23.6,8,1,16.6,8,1
2025/5/11,18.5,8,1,22.4,8,1,14.9,8,1
2025/5/12,17.4,8,1,20.7,8,1,14.6,8,1
2025/5/13,19.8,8,1,24.6,8,1,14.7,8,1
2025/5/14,20.8,8,1,25.4,8,1,16.8,8,1
2025/5/15,21.5,8,1,24.5,8,1,18.3,8,1
2025/5/16,21.6,8,1,24.2,8,1,19.3,8,1
2025/5/17,21.5,8,1,22.7,8,1,19.2,8,1
2025/5/18,23.6,8,1,27.2,8,1,20.4,8,1
2025/5/19,21.5,8,1,24.8,8,1,19.7,8,1
2025/5/20,24.0,8,1,27.3,8,1,20.8,8,1
2025/5/21,23.6,8,1,26.3,8,1,21.4,8,1
2025/5/22,23.5,8,1,30.1,8,1,18.9,8,1
2025/5/23,21.8,8,1,26.3,8,1,17.3,8,1
2025/5/24,19.6,8,1,21.0,8,1,18.3,8,1
2025/5/25,19.1,8,1,20.9,8,1,15.5,8,1
2025/5/26,17.2,8,1,19.7,8,1,15.0,8,1
2025/5/27,19.9,8,1,25.0,8,1,15.4,8,1
2025/5/28,21.5,8,1,26.7,8,1,17.9,8,1
2025/5/29,21.3,8,1,23.3,8,1,19.3,8,1
2025/5/30,21.6,8,1,26.9,8,1,18.8,8,1
2025/5/31,20.4,8,1,23.8,8,1,18.3,8,1
2025/6/1,20.9,8,1,26.0,8,1,18.2,8,1
